date,price
2024-06-28,109.66000366210938
2024-07-01,103.69999694824219
2024-07-02,103.25
2024-07-03,103.5999984741211
2024-07-05,104.44999694824219
2024-07-08,104.5
2024-07-09,102.8499984741211
2024-07-10,101.5
2024-07-11,102.1500015258789
2024-07-12,103.75
2024-07-15,106.0999984741211
2024-07-16,106.5
2024-07-17,104.4000015258789
2024-07-18,105.1500015258789
2024-07-19,105.1500015258789
2024-07-22,105.0
2024-07-23,105.25
2024-07-24,106.1500015258789
2024-07-25,106.25
2024-07-26,106.37000274658203
2024-07-29,115.44999694824219
2024-07-30,116.4000015258789
2024-07-31,116.6500015258789
2024-08-01,120.5999984741211
2024-08-02,121.4000015258789
2024-08-05,119.55000305175781
2024-08-06,120.8499984741211
2024-08-07,121.1500015258789
2024-08-08,121.5
2024-08-09,122.0
2024-08-12,122.9000015258789
2024-08-13,120.75
2024-08-14,121.9000015258789
2024-08-15,122.5
2024-08-16,122.4000015258789
2024-08-19,122.4000015258789
2024-08-20,121.5
2024-08-21,120.25
2024-08-22,120.8499984741211
2024-08-23,121.1500015258789
2024-08-26,121.1500015258789
2024-08-27,121.0
2024-08-28,121.4000015258789
2024-08-29,121.4000015258789
2024-08-30,121.68000030517578
2024-09-03,116.05000305175781
2024-09-04,114.6500015258789
2024-09-05,114.30000305175781
2024-09-06,114.6500015258789
2024-09-09,114.5999984741211
2024-09-10,113.80000305175781
2024-09-11,113.9000015258789
2024-09-12,113.1500015258789
2024-09-13,114.0
2024-09-16,112.80000305175781
2024-09-17,114.1500015258789
2024-09-18,114.0
2024-09-19,113.75
2024-09-20,113.9000015258789
2024-09-23,114.6500015258789
2024-09-24,114.25
2024-09-25,114.94999694824219
2024-09-26,114.8499984741211
2024-09-27,114.80999755859375
2024-09-30,118.75
2024-10-01,117.9000015258789
2024-10-02,116.0
2024-10-03,117.55000305175781
2024-10-04,121.94999694824219
2024-10-07,121.9000015258789
2024-10-08,119.5
2024-10-09,118.8499984741211
2024-10-10,120.55000305175781
2024-10-11,119.8499984741211
2024-10-14,120.75
2024-10-15,119.30000305175781
2024-10-16,118.1500015258789
2024-10-17,118.5
2024-10-18,118.5
2024-10-21,118.5999984741211
2024-10-22,118.5999984741211
2024-10-23,119.0999984741211
2024-10-24,119.25
2024-10-25,119.58999633789062
2024-10-28,119.80000305175781
2024-10-29,121.44999694824219
2024-10-30,120.5
2024-10-31,119.5
2024-11-01,118.30000305175781
2024-11-04,119.25
2024-11-05,117.94999694824219
2024-11-06,118.0
2024-11-07,119.0
2024-11-08,119.80000305175781
2024-11-11,120.69999694824219
2024-11-12,120.5
2024-11-13,120.44999694824219
2024-11-14,121.4000015258789
2024-11-15,122.0
2024-11-18,122.6500015258789
2024-11-19,122.4000015258789
2024-11-20,122.5
2024-11-21,122.75
2024-11-22,122.1500015258789
2024-11-25,122.0
2024-11-26,121.6500015258789
2024-11-27,121.6500015258789
2024-11-29,121.94999694824219
2024-12-02,117.9000015258789
2024-12-03,116.4000015258789
2024-12-04,115.19999694824219
2024-12-05,114.4000015258789
2024-12-06,113.94999694824219
2024-12-09,113.8499984741211
2024-12-10,114.0
2024-12-11,113.9000015258789
2024-12-12,112.75
2024-12-13,112.6500015258789
2024-12-16,111.25
2024-12-17,111.9000015258789
2024-12-18,111.3499984741211
2024-12-19,111.5
2024-12-20,111.69999694824219
2024-12-23,112.25
2024-12-24,112.0
2024-12-26,112.0
2024-12-27,112.29000091552734
2024-12-30,112.6500015258789
2024-12-31,114.5
2025-01-02,114.5
2025-01-03,113.19999694824219
2025-01-06,109.69999694824219
2025-01-07,110.55000305175781
2025-01-08,108.0
2025-01-09,106.0
2025-01-10,105.3499984741211
2025-01-13,108.44999694824219
2025-01-14,106.25
2025-01-15,107.4000015258789
2025-01-16,107.9000015258789
2025-01-17,109.25
2025-01-21,111.25
2025-01-22,109.75
2025-01-23,109.5
2025-01-24,109.4000015258789
2025-01-27,109.4000015258789
2025-01-28,110.25
2025-01-29,110.1500015258789
2025-01-30,110.1500015258789
2025-01-31,110.37999725341797
2025-02-03,109.25
2025-02-04,105.75
2025-02-05,105.69999694824219
2025-02-06,106.3499984741211
2025-02-07,105.0
2025-02-10,104.5
2025-02-11,102.9000015258789
2025-02-12,103.1500015258789
2025-02-13,101.75
2025-02-14,101.25
2025-02-18,101.6500015258789
2025-02-19,100.4000015258789
2025-02-20,99.9000015258789
2025-02-21,99.75
2025-02-24,100.4000015258789
2025-02-25,99.75
2025-02-26,99.5
2025-02-27,99.75
2025-02-28,99.43000030517578
2025-03-03,96.5999984741211
2025-03-04,96.0
2025-03-05,96.9000015258789
2025-03-06,96.69999694824219
2025-03-07,97.5
2025-03-10,100.0
2025-03-11,99.0999984741211
2025-03-12,97.9000015258789
2025-03-13,97.9000015258789
2025-03-14,97.8499984741211
2025-03-17,97.25
2025-03-18,96.9000015258789
2025-03-19,98.30000305175781
2025-03-20,97.75
2025-03-21,97.9000015258789
2025-03-24,97.6500015258789
2025-03-25,97.4000015258789
2025-03-26,98.0
2025-03-27,97.8499984741211
2025-03-28,97.44000244140625
2025-03-31,103.9000015258789
2025-04-01,105.75
2025-04-02,103.30000305175781
2025-04-03,100.75
2025-04-04,99.9000015258789
2025-04-07,101.9000015258789
2025-04-08,103.0
2025-04-09,101.6500015258789
2025-04-10,102.5
2025-04-11,102.75
2025-04-14,103.80000305175781
2025-04-15,104.25
2025-04-16,103.3499984741211
2025-04-17,103.0
2025-04-21,103.0
2025-04-22,102.1500015258789
2025-04-23,103.0
2025-04-24,102.0
2025-04-25,102.4000015258789
2025-04-28,92.30000305175781
2025-04-29,93.0999984741211
2025-04-30,93.6500015258789
2025-05-01,94.1500015258789
2025-05-02,94.5999984741211
2025-05-05,94.5999984741211
2025-05-06,96.9000015258789
2025-05-07,97.25
2025-05-08,96.75
2025-05-09,96.05000305175781
2025-05-12,96.5
2025-05-13,95.94999694824219
2025-05-14,94.44999694824219
2025-05-15,95.0
2025-05-16,94.75
2025-05-19,95.25
2025-05-20,96.1500015258789
2025-05-21,95.69999694824219
2025-05-22,96.05000305175781
2025-05-23,96.1500015258789
2025-05-27,96.1500015258789
2025-05-28,95.5999984741211
2025-05-29,95.6500015258789
2025-05-30,95.61000061035156
2025-06-02,96.80000305175781
2025-06-03,97.1500015258789
2025-06-04,99.0
2025-06-05,100.5999984741211
2025-06-06,101.80000305175781
2025-06-09,103.3499984741211
